   m = 25, n = 11, p = 5, q = 3
   X ::    |        1      2      3      4      5      6      7      8      9     10     11
   ----------------------------------------------------------------------------------------
   fila  1 |    2.043  4.454  4.496 -2.216  3.412  2.432  2.670  2.376 -3.642 -4.325 -1.264
   fila  2 |   -1.951  2.239  2.915 -3.309 -2.271  3.032  1.922  2.752 -1.485 -4.149 -2.780
   fila  3 |    3.195  1.255 -4.008  4.843 -3.229  2.468  3.719  3.354 -3.585 -3.098 -1.139
   fila  4 |   -1.436  4.868  2.513  4.212  3.002  1.534  4.314 -3.195 -3.458 -1.996 -1.064
   fila  5 |    1.676 -4.113 -1.009 -3.121 -1.112 -4.236  2.153 -1.425  4.641  2.738  1.042
   fila  6 |    2.247 -2.850  2.278 -3.611 -3.120 -2.262  2.118  2.871 -2.788  1.195 -3.258
   fila  7 |   -4.031 -3.343  1.142 -2.748 -3.548  3.862  1.365 -4.081 -1.915 -1.398 -1.766
   fila  8 |    4.902 -3.519 -1.681 -4.340  2.728  2.638  1.198  3.518 -2.675 -1.267 -2.668
   fila  9 |    4.379  1.184 -3.846  1.948  1.374 -1.109 -1.692 -1.854 -3.113  2.079  4.127
   fila 10 |   -3.424  4.791 -3.623  2.858 -3.092 -2.161  2.992  3.948  2.804 -1.437  3.390
   fila 11 |    3.714  1.289  1.945  3.732 -4.241 -3.530  1.333 -2.460  2.682  3.050 -2.365
   fila 12 |   -4.744 -4.169  4.372  4.410 -4.017  4.551 -1.768  2.009 -1.628  3.126  3.505
   fila 13 |    4.873  2.827 -2.598 -4.958 -4.879 -4.342 -1.297  1.282  1.344  2.791  3.570
   fila 14 |   -1.742  3.720 -4.603 -4.552  4.816 -4.902 -4.539  1.690 -3.347  2.751 -1.272
   fila 15 |   -2.967  2.016 -3.977  2.771 -4.636 -3.104 -2.432  2.056 -4.843 -2.130 -2.868
   fila 16 |   -1.473  1.725 -2.625 -2.608 -4.998 -4.660 -2.679  4.999 -3.568  4.799  3.181
   fila 17 |   -4.337  4.104 -2.291  4.524 -2.432 -2.480  4.762  4.133 -1.366 -2.769 -3.128
   fila 18 |    3.877  4.782  3.005  2.499  1.592  4.517  4.565  2.836  1.442 -2.487 -2.452
   fila 19 |   -4.658 -3.787 -2.169 -2.395  1.672 -2.550  4.917  1.887  1.940 -4.035 -2.958
   fila 20 |   -1.322 -3.326  3.065  1.187  4.709  4.795  1.493  4.515 -3.961  2.944 -4.214
   fila 21 |   -2.037  2.701  3.244 -1.768  1.355  4.671 -1.188  3.744  3.037 -1.506 -3.042
   fila 22 |    1.327  2.053  3.955  4.063  2.479  2.723 -1.725  1.677 -1.475 -1.631 -1.417
   fila 23 |   -2.267 -3.514  2.685  2.028 -2.532  2.322  1.064  2.667  3.861 -1.737 -4.120
   fila 24 |   -4.838 -2.911 -1.375 -1.004 -3.067 -4.489 -2.209 -2.501  3.191 -1.679 -3.767
   fila 25 |   -3.040 -1.551 -3.721 -4.147 -3.459 -3.635 -1.891 -4.830  3.538 -2.654 -4.454
