Iter	        a	        b	       fa	       fb	        m
-----------------------------------------------------------------------
1	  0.000000	  1.000000	  1.000000	 -0.459698	  0.500000
2	  0.500000	  1.000000	  0.377583	 -0.459698	  0.750000
3	  0.500000	  0.750000	  0.377583	 -0.018311	  0.625000
4	  0.625000	  0.750000	  0.185963	 -0.018311	  0.687500
5	  0.687500	  0.750000	  0.085335	 -0.018311	  0.718750
6	  0.718750	  0.750000	  0.033879	 -0.018311	  0.734375
7	  0.734375	  0.750000	  0.007875	 -0.018311	  0.742188
8	  0.734375	  0.742188	  0.007875	 -0.005196	  0.738281
9	  0.738281	  0.742188	  0.001345	 -0.005196	  0.740234
10	  0.738281	  0.740234	  0.001345	 -0.001924	  0.739258
11	  0.738281	  0.739258	  0.001345	 -0.000289	  0.738770
12	  0.738770	  0.739258	  0.000528	 -0.000289	  0.739014
13	  0.739014	  0.739258	  0.000120	 -0.000289	  0.739136
14	  0.739014	  0.739136	  0.000120	 -0.000085	  0.739075
15	  0.739075	  0.739136	  0.000017	 -0.000085	  0.739105
16	  0.739075	  0.739105	  0.000017	 -0.000034	  0.739090
17	  0.739075	  0.739090	  0.000017	 -0.000008	  0.739082
18	  0.739082	  0.739090	  0.000005	 -0.000008	  0.739086
19	  0.739082	  0.739086	  0.000005	 -0.000002	  0.739084
20	  0.739084	  0.739086	  0.000001	 -0.000002	  0.739085
